sucursal_id,action,timestamp_lvt,details
0,Procesada 'tarea b' (Interna),3513,Duración: 5
0,Recibida 'tarea a',3513,Evento T_E=3511
0,Rollback Iniciado,3513,T_E=3511 < LVT=3513
0,Rollback: Checkpoint Restaurado,3375,Restaurado a T=3375
0,Rollback: Checkpoint Creado,3375,
0,Rollback: Reprocesada 'tarea a',3508,
0,Rollback: Reprocesada 'tarea b',3513,Duración: 5
0,Rollback: Checkpoint Creado,3513,
0,Rollback: Reprocesada 'tarea a',3513,
0,Rollback: Reprocesada 'tarea b',3515,Duración: 2
0,Rollback Terminado,3515,
0,Recibida 'tarea a',3515,Evento T_E=3528
0,Checkpoint Creado,3515,
0,Procesada 'tarea a',3528,
0,Procesada 'tarea b' (Interna),3533,Duración: 5
0,Recibida 'tarea a',3533,Evento T_E=3532
0,Rollback Iniciado,3533,T_E=3532 < LVT=3533
0,Rollback: Checkpoint Restaurado,3515,Restaurado a T=3515
0,Rollback: Checkpoint Creado,3515,
0,Rollback: Reprocesada 'tarea a',3528,
0,Rollback: Reprocesada 'tarea b',3533,Duración: 5
0,Rollback: Checkpoint Creado,3533,
0,Rollback: Reprocesada 'tarea a',3533,
0,Rollback: Reprocesada 'tarea b',3536,Duración: 3
0,Rollback Terminado,3536,
0,Recibida 'tarea a',3536,Evento T_E=3567
0,Checkpoint Creado,3536,
0,Procesada 'tarea a',3567,
0,Procesada 'tarea b' (Interna),3568,Duración: 1
0,Recibida 'tarea a',3568,Evento T_E=3664
0,Checkpoint Creado,3568,
0,Procesada 'tarea a',3664,
0,Procesada 'tarea b' (Interna),3667,Duración: 3
0,Recibida 'tarea a',3667,Evento T_E=3703
0,Checkpoint Creado,3667,
0,Procesada 'tarea a',3703,
0,Procesada 'tarea b' (Interna),3706,Duración: 3
0,Recibida 'tarea a',3706,Evento T_E=3707
0,Checkpoint Creado,3706,
0,Procesada 'tarea a',3707,
0,Procesada 'tarea b' (Interna),3710,Duración: 3
0,Recibida 'tarea a',3710,Evento T_E=3755
0,Checkpoint Creado,3710,
0,Procesada 'tarea a',3755,
0,Procesada 'tarea b' (Interna),3757,Duración: 2
0,Recibida 'tarea a',3757,Evento T_E=3867
0,Checkpoint Creado,3757,
0,Procesada 'tarea a',3867,
0,Procesada 'tarea b' (Interna),3868,Duración: 1
0,Recibida 'tarea a',3868,Evento T_E=3888
0,Checkpoint Creado,3868,
0,Procesada 'tarea a',3888,
0,Procesada 'tarea b' (Interna),3891,Duración: 3
0,Recibida 'tarea a',3891,Evento T_E=3891
0,Checkpoint Creado,3891,
0,Procesada 'tarea a',3891,
0,Procesada 'tarea b' (Interna),3895,Duración: 4
0,Recibida 'tarea a',3895,Evento T_E=3930
0,Checkpoint Creado,3895,
0,Procesada 'tarea a',3930,
0,Procesada 'tarea b' (Interna),3932,Duración: 2
0,Recibida 'tarea a',3932,Evento T_E=4056
0,Checkpoint Creado,3932,
0,Procesada 'tarea a',4056,
0,Procesada 'tarea b' (Interna),4057,Duración: 1
0,Recibida 'tarea a',4057,Evento T_E=4074
0,Checkpoint Creado,4057,
0,Procesada 'tarea a',4074,
0,Procesada 'tarea b' (Interna),4077,Duración: 3
0,Recibida 'tarea a',4077,Evento T_E=4085
0,Checkpoint Creado,4077,
0,Procesada 'tarea a',4085,
0,Procesada 'tarea b' (Interna),4090,Duración: 5
0,Recibida 'tarea a',4090,Evento T_E=4110
0,Checkpoint Creado,4090,
0,Procesada 'tarea a',4110,
0,Procesada 'tarea b' (Interna),4114,Duración: 4
0,Recibida 'tarea a',4114,Evento T_E=4165
0,Checkpoint Creado,4114,
0,Procesada 'tarea a',4165,
0,Procesada 'tarea b' (Interna),4169,Duración: 4
0,Recibida 'tarea a',4169,Evento T_E=4168
0,Rollback Iniciado,4169,T_E=4168 < LVT=4169
0,Rollback: Checkpoint Restaurado,4114,Restaurado a T=4114
0,Rollback: Checkpoint Creado,4114,
0,Rollback: Reprocesada 'tarea a',4165,
0,Rollback: Reprocesada 'tarea b',4169,Duración: 4
0,Rollback: Checkpoint Creado,4169,
0,Rollback: Reprocesada 'tarea a',4169,
0,Rollback: Reprocesada 'tarea b',4174,Duración: 5
0,Rollback Terminado,4174,
0,Recibida 'tarea a',4174,Evento T_E=4318
0,Checkpoint Creado,4174,
0,Procesada 'tarea a',4318,
0,Procesada 'tarea b' (Interna),4319,Duración: 1
0,Recibida 'tarea a',4319,Evento T_E=4319
0,Checkpoint Creado,4319,
0,Procesada 'tarea a',4319,
0,Procesada 'tarea b' (Interna),4322,Duración: 3
0,Recibida 'tarea a',4322,Evento T_E=4335
0,Checkpoint Creado,4322,
0,Procesada 'tarea a',4335,
0,Procesada 'tarea b' (Interna),4339,Duración: 4
0,Recibida 'tarea a',4339,Evento T_E=4341
0,Checkpoint Creado,4339,
0,Procesada 'tarea a',4341,
0,Procesada 'tarea b' (Interna),4345,Duración: 4
0,Recibida 'tarea a',4345,Evento T_E=4343
0,Rollback Iniciado,4345,T_E=4343 < LVT=4345
0,Rollback: Checkpoint Restaurado,4339,Restaurado a T=4339
0,Rollback: Checkpoint Creado,4339,
0,Rollback: Reprocesada 'tarea a',4341,
0,Rollback: Reprocesada 'tarea b',4345,Duración: 4
0,Rollback: Checkpoint Creado,4345,
0,Rollback: Reprocesada 'tarea a',4345,
0,Rollback: Reprocesada 'tarea b',4346,Duración: 1
0,Rollback Terminado,4346,
0,Recibida 'tarea a',4346,Evento T_E=4363
0,Checkpoint Creado,4346,
0,Procesada 'tarea a',4363,
0,Procesada 'tarea b' (Interna),4367,Duración: 4
0,Recibida 'tarea a',4367,Evento T_E=4384
0,Checkpoint Creado,4367,
0,Procesada 'tarea a',4384,
0,Procesada 'tarea b' (Interna),4389,Duración: 5
0,Recibida 'tarea a',4389,Evento T_E=4464
0,Checkpoint Creado,4389,
0,Procesada 'tarea a',4464,
0,Procesada 'tarea b' (Interna),4468,Duración: 4
0,Recibida 'tarea a',4468,Evento T_E=4486
0,Checkpoint Creado,4468,
0,Procesada 'tarea a',4486,
0,Procesada 'tarea b' (Interna),4489,Duración: 3
0,Recibida 'tarea a',4489,Evento T_E=4525
0,Checkpoint Creado,4489,
0,Procesada 'tarea a',4525,
0,Procesada 'tarea b' (Interna),4527,Duración: 2
0,Recibida 'tarea a',4527,Evento T_E=4551
0,Checkpoint Creado,4527,
0,Procesada 'tarea a',4551,
0,Procesada 'tarea b' (Interna),4555,Duración: 4
0,Recibida 'tarea a',4555,Evento T_E=4570
0,Checkpoint Creado,4555,
0,Procesada 'tarea a',4570,
0,Procesada 'tarea b' (Interna),4572,Duración: 2
0,Recibida 'tarea a',4572,Evento T_E=4575
0,Checkpoint Creado,4572,
0,Procesada 'tarea a',4575,
0,Procesada 'tarea b' (Interna),4580,Duración: 5
0,Recibida 'tarea a',4580,Evento T_E=4598
0,Checkpoint Creado,4580,
0,Procesada 'tarea a',4598,
0,Procesada 'tarea b' (Interna),4599,Duración: 1
0,Recibida 'tarea a',4599,Evento T_E=4665
0,Checkpoint Creado,4599,
0,Procesada 'tarea a',4665,
0,Procesada 'tarea b' (Interna),4667,Duración: 2
0,Recibida 'tarea a',4667,Evento T_E=4690
0,Checkpoint Creado,4667,
0,Procesada 'tarea a',4690,
